,att_id,att_name,att_cat,att_price,score
313,667,fraser_valley_wine_tour_from_vancouver,"food,_wine_&_nightlife",187.0,5.0
1300,3289,quebec_city_walking_tour,recommended_experiences,30.99,5.0
588,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42,5.0
848,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99,5.0
849,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0,5.0
850,1913,niagara_falls_tour_day_trip_from_toronto,walking_&_biking_tours,89.0,5.0
851,1914,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,walking_&_biking_tours,149.0,5.0
583,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,5.0
582,1309,vancouver_city_hop-on_hop-off_tour,tours_&_sightseeing,31.2,5.0
581,1308,quebec_city_and_montmorency_falls_day_trip_from_montreal,tours_&_sightseeing,115.0,5.0
99,169,vancouver_city_and_seals_scenic_boat_tour,"cruises,_sailing_&_water_tours",61.95,5.0
579,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,5.0
578,1305,niagara_falls_small-group_day_tour_from_toronto,tours_&_sightseeing,100.57,5.0
577,1304,quebec_city_walking_tour,tours_&_sightseeing,30.99,5.0
95,162,ottawa_river_historic_sightseeing_cruise,"cruises,_sailing_&_water_tours",28.0,5.0
1150,2505,quebec_city_shore_excursion:_grand_walking_tour_of_quebec_city,shore_excursions,30.99,5.0
574,1301,niagara_falls_day_tour_from_toronto,tours_&_sightseeing,94.92,5.0
869,1934,2-hour_ottawa_express_city_bike_tour,walking_&_biking_tours,63.0,5.0
871,1936,montmorency_falls_bike_tour_in_quebec,walking_&_biking_tours,77.0,5.0
874,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,5.0
1407,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,5.0
893,1999,montreal_north_city_bike_tour,walking_&_biking_tours,88.25,5.0
1409,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,5.0
238,500,columbia_icefield_tour_including_the_glacier_skywalk_from_calgary,day_trips_&_excursions,380.1,5.0
165,335,ottawa_river_historic_sightseeing_cruise,cultural_&_theme_tours,28.0,5.0
545,1210,nanaimo_classic_adventure_course,outdoor_activities,41.99,5.0
1517,3530,guided_electric_bike_tour_in_whistler,recommended_experiences,134.96,5.0
1421,3418,small-group_wine_tour_from_niagara_falls_with_hotel_pickup,recommended_experiences,99.95,5.0
961,2091,wild_current_canoe_adventure_at_pyramid_lake,water_sports,120.0,5.0
514,1146,guided_zipline_tour_in_mont_tremblant,outdoor_activities,114.58,5.0
68,123,granite_falls_zodiac_tour,"cruises,_sailing_&_water_tours",103.95,5.0
1296,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,5.0
119,202,90-minute_1000_islands_sightseeing_cruise,"cruises,_sailing_&_water_tours",27.5,5.0
1223,2771,historic_tour_around_town,private_&_custom_tours,115.0,5.0
1305,3294,vancouver_city_hop-on_hop-off_tour,recommended_experiences,31.2,5.0
699,1570,victoria_and_butchart_gardens_by_seaplane_and_speed_boat,tours_&_sightseeing,489.0,5.0
1536,3554,montreal_afternoon_tea_tour,recommended_experiences,149.5,5.0
1367,3360,athabasca_glacier_snow_trip_from_banff,recommended_experiences,273.0,5.0
743,1647,niagara_falls_american_side_highlights_tour,tours_&_sightseeing,149.89,5.0
1386,3380,small-group_quebec_wine_tour_from_montreal_with_gourmet_lunch_or_cheese_tasting,recommended_experiences,97.73,5.0
1336,3326,private_tour:_quebec_city_walking_tour,recommended_experiences,25.72,5.0
1333,3323,gastronomic_gastown_walking_tour,recommended_experiences,146.35,5.0
771,1687,talkwalk_front_and_centre_guided_walking_tour_of_public_art_and_sculpture,tours_&_sightseeing,49.0,5.0
637,1392,summer_tour:_banff_and_its_wildlife,tours_&_sightseeing,74.55,5.0
1328,3318,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,recommended_experiences,136.25,5.0
1388,3382,beyond_the_market_food_tour_in_montreal,recommended_experiences,104.0,5.0
1327,3317,niagara_on_the_lake_wine_tour_with_cheese_pairing,recommended_experiences,83.62,5.0
1326,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0,5.0
627,1367,stanley_park_horse-drawn_tours,tours_&_sightseeing,42.0,5.0
142,242,talking_trees_-_indigenous_walking_tour,cultural_&_theme_tours,40.0,5.0
625,1364,2-hour_ottawa_express_city_bike_tour,tours_&_sightseeing,63.0,5.0
198,408,niagara_falls_day_trip_from_toronto,day_trips_&_excursions,169.0,5.0
137,233,quebec_city_historic_discoverers_cruise,cultural_&_theme_tours,44.83,5.0
800,1739,full-day_niagara_ice_wine_festival_tour_with_lunch_and_winery_visits,tours_&_sightseeing,395.0,5.0
